# STYX MC file
# NOTE that here the units are already mm and not ns!
# Module Layer Straw Radius Status
# (-Index slope position)
Event 	1
3	3	2	0.0536348	2
-1	0.0987147	182.879
1	1	24	10.7915	4
1	2	24	44.0084	4
1	3	24	33.2252	4
2	1	25	20.3975	2
2	2	25	36.4532	2
2	3	25	40.6102	4
3	1	26	25.4486	4
3	2	26	31.9959	4
3	3	26	45.3417	4
-2	0.554639	98.7692
1	1	13	27.7901	4
1	2	13	29.8132	4
1	3	14	31.7968	4
2	1	19	29.4896	4
2	2	19	31.4786	4
2	3	20	33.4405	4
3	1	25	45.7639	4
3	2	25	47.9719	4
3	3	26	50.275	4
-3	-0.555546	524.992
1	1	69	25.1584	4
1	2	68	23.0797	4
1	3	68	20.9199	4
2	1	63	24.4292	4
2	2	62	22.3224	4
2	3	62	20.1301	4
3	1	57	4.55619	4
3	2	56	1.39683	4
3	3	56	-1.95533	4
Event 	13
1	1	17	0.441542	4
1	1	32	3.47552	4
1	3	2	3.63459	2
1	3	29	0.794419	4
1	3	54	2.51791	4
2	1	52	2.05019	4
2	1	77	2.2826	2
2	2	5	1.35012	4
2	2	47	0.547561	2
2	3	9	0.558208	4
3	1	14	2.92653	4
3	1	30	0.336031	4
3	1	45	1.45979	4
3	1	68	3.00546	4
3	2	15	0.0165358	4
3	2	17	0.315468	4
3	2	66	0.290494	4
3	2	72	2.55403	4
3	3	4	2.99757	4
3	3	37	1.50921	2
3	3	86	1.12125	4
-1	-0.046232	153.049
1	1	20	32.1688	4
1	2	20	39.9736	4
1	3	20	22.5463	4
2	1	20	35.259	4
2	2	19	27.6591	4
2	3	20	44.6019	4
3	1	19	33.8093	4
3	2	19	38.3108	4
3	3	19	24.3832	4
-2	0.152963	48.1279
1	1	7	54.793	4
1	2	6	28.9017	4
1	3	7	22.6148	4
2	1	8	30.9365	4
2	2	8	20.3	2
3	1	10	23.1376	4
3	2	9	62.45	4
3	3	10	15.0608	2
-3	-0.471281	104.432
1	1	14	39.9052	4
1	2	13	50.2784	4
1	3	13	63.2395	4
1	3	14	57.4313	4
2	1	9	31.2133	4
2	2	8	40.7093	2
2	3	8	51.2326	4
3	1	4	35.0796	4
3	2	3	44.7898	4
3	3	3	56.223	4
3	3	4	64.6334	4
Event 	14
1	1	20	3.4833	4
1	1	25	0.594902	4
1	1	31	0.116049	4
1	1	65	2.64835	4
1	2	17	0.269454	4
1	2	19	1.9073	2
1	2	21	3.08016	4
1	2	25	0.827695	4
1	2	48	1.21964	4
1	2	53	0.523064	4
1	2	68	3.49731	4
1	3	50	3.17492	4
2	1	17	3.6443	4
2	2	40	3.47393	4
2	2	53	0.638734	4
2	2	69	2.5661	2
2	3	6	0.745892	4
2	3	11	2.18324	4
2	3	34	1.58824	4
2	3	42	2.43067	4
2	3	60	0.484114	4
3	2	9	3.51031	4
3	2	14	3.24569	4
3	2	27	2.85256	4
3	2	87	0.498058	4
3	3	67	1.33098	4
-1	-0.207715	209.385
1	1	28	36.6498	4
1	2	27	4.46173	4
1	3	27	45.7443	4
2	1	25	63.0195	2
2	2	25	27.7317	2
2	3	25	17.1628	4
3	1	23	37.7976	4
3	2	23	49.4862	2
3	3	23	9.55545	2
-2	0.150923	654.753
1	1	85	4.02857	4
1	2	85	52.3537	4
1	3	85	30.6584	4
2	1	87	52.7127	2
2	2	86	30.37	2
2	3	87	21.2084	2
3	1	88	25.4826	4
3	2	88	26.41	4
3	3	88	57.7883	4
-3	0.540545	355.004
1	1	46	8.77109	4
1	2	46	13.3516	4
1	3	47	17.5373	4
2	1	52	29.3231	4
2	2	52	32.5548	4
2	3	53	35.737	4
3	1	57	51.8449	4
3	1	58	65.5079	4
3	2	57	48.0296	4
3	3	58	44.4698	2
Event 	15
1	1	9	0.389663	4
1	2	12	2.39848	4
1	2	31	3.23497	4
1	2	72	3.59741	4
1	3	18	1.52122	4
1	3	25	1.82265	4
1	3	29	2.07538	4
1	3	44	0.384516	4
2	1	53	1.43733	4
2	1	58	3.00109	4
2	1	64	1.8875	4
2	2	46	1.50463	2
2	3	46	0.463257	4
2	3	86	0.0104084	2
3	1	5	3.13796	4
3	1	38	1.8992	2
3	1	39	3.2341	4
3	1	47	1.63296	2
3	1	51	2.78624	4
3	2	28	3.5367	4
3	2	72	0.178985	4
3	3	53	0.412289	4
3	3	82	0.209448	4
-1	-0.467191	10.1072
1	1	2	32.2275	2
1	2	1	42.1486	2
1	3	1	53.4516	2
-2	-0.90866	112.701
1	1	16	12.7623	4
1	2	14	58.3688	4
1	2	15	39.4254	4
1	3	14	31.3695	4
2	1	6	8.17681	4
2	2	5	22.247	4
2	3	4	48.6708	4
2	3	5	47.4938	2
-3	-0.260128	540.415
1	1	71	57.33	4
1	2	70	24.2048	4
1	3	70	14.39	4
2	1	68	33.4685	2
2	2	67	0.705297	2
2	3	67	37.7735	2
3	1	65	-2.02497	2
3	2	64	36.2533	4
3	3	65	56.7079	4
Event 	16
1	1	29	2.55172	4
1	1	37	2.39828	4
1	1	45	1.3248	4
1	1	66	0.465022	4
1	1	81	1.52115	4
1	2	32	0.710669	4
1	2	71	2.28448	4
1	3	65	0.916736	4
1	3	82	3.31577	4
2	1	65	3.33006	2
2	1	79	3.63012	2
2	2	7	2.26821	4
2	2	34	0.954479	4
3	1	35	3.58428	4
3	1	68	0.326191	4
3	2	4	3.39865	4
3	2	49	0.209058	4
3	2	68	1.73118	4
3	3	16	2.51885	4
-1	-0.600885	549.22
1	1	72	4.30737	4
1	2	71	7.47204	4
1	3	71	10.451	4
2	1	65	53.0354	2
2	1	66	60.0557	2
2	2	64	50.5675	4
2	2	65	63.0698	2
